[0, 4]
7, 3
1234, 10
1237, 651
14, 658
7, 3
[5, 9]
73, 41
85, 212
178, 193
184, 28
73, 41
[10, 14]
282, 32
283, 85
406, 83
403, 28
282, 32
[15, 54]
264, 179
333, 137
388, 134
459, 140
505, 167
553, 237
555, 353
543, 389
508, 446
472, 467
421, 482
354, 485
300, 452
273, 422
251, 364
240, 313
249, 270
282, 221
346, 194
394, 188
451, 207
495, 255
510, 323
500, 359
476, 405
446, 425
408, 432
342, 413
311, 368
303, 296
327, 271
369, 260
417, 260
448, 296
453, 326
441, 347
414, 357
387, 356
366, 341
390, 315
[55, 59]
97, 280
108, 341
144, 335
163, 278
97, 280
[60, 64]
93, 386
159, 390
165, 440
105, 476
93, 386
[65, 69]
117, 509
168, 572
207, 500
194, 470
123, 508
[70, 74]
243, 520
321, 550
310, 626
231, 584
243, 520
[75, 79]
347, 551
471, 536
540, 578
342, 623
347, 551
[80, 85]
549, 506
626, 428
697, 422
687, 518
581, 559
549, 506
[86, 92]
483, 77
586, 119
630, 229
693, 234
690, 101
613, 35
483, 77
[93, 109]
710, 544
786, 604
942, 608
1080, 557
1106, 397
1014, 234
822, 238
816, 140
1027, 137
1126, 243
1174, 383
1167, 557
1095, 629
960, 648
783, 643
678, 575
710, 544
[110, 114]
1136, 63
1133, 98
1174, 100
1173, 65
1136, 63
